"cb_tessin_1960" "cw_kindheitsmuster_1976" "gg_blechtrommel_1959" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"cb_tessin_1960" 0 1.3514539246917 1.39032964862681 1.16518573017726 1.49563162686753 1.3446047924196 1.18993655527595 1.22878022253705 1.2574638938188 1.15929305139067 1.3373862566308 1.34314134417951 1.27904418990309 1.27750418814242 1.40378119701821
"cw_kindheitsmuster_1976" 1.3514539246917 0 1.16169697100896 1.11136987227108 1.29351677995636 1.57083001167137 1.3661313317863 1.25141407602159 1.14427588507674 1.48547001770706 1.20597652773944 1.52038226058207 1.43097433544499 1.28367693272563 1.20715452705289
"gg_blechtrommel_1959" 1.39032964862681 1.16169697100896 0 1.30993448811339 1.44347219438593 1.44302989567297 1.48468122365327 1.15642314182256 1.18526208673549 1.40010644512301 1.36394555491074 1.28690769707549 1.36340887990371 1.19455005843991 1.27802783127171
"hb_gruppenbild_1971" 1.16518573017726 1.11136987227108 1.30993448811339 0 1.337250692078 1.36695155699135 1.30864683180403 1.2740150727752 1.20693883998543 1.17069331728601 1.20264546982888 1.41970236549816 1.44313666318917 1.14012392110237 1.25404558983616
"wk_aussicht_1981" 1.49563162686753 1.29351677995636 1.44347219438593 1.337250692078 0 1.22230302626553 1.24368586550918 0.999642587194877 1.08892611497049 1.16499003413104 1.15296321861132 1.20214634132944 1.05138693333656 1.06152442382739 0.534582610913197
"wk_gold_1972" 1.3446047924196 1.57083001167137 1.44302989567297 1.36695155699135 1.22230302626553 0 1.22576747254439 1.06168991136589 1.20943234281052 0.642472539862349 1.28188622454541 0.502773927218143 1.13015400886551 0.913739505070001 1.05429910747258
"wk_gruesse_2003" 1.18993655527595 1.3661313317863 1.48468122365327 1.30864683180403 1.24368586550918 1.22576747254439 0 0.596755876173435 0.677980374873081 1.14989532447134 0.626871858512116 1.19420460535423 0.701582492898295 1.01890163032253 1.28748058546039
"wk_heilewelt_1998" 1.22878022253705 1.25141407602159 1.15642314182256 1.2740150727752 0.999642587194877 1.06168991136589 0.596755876173435 0 0.626277869068822 1.03594006103549 0.639401460331246 0.967762234007379 0.580253707328031 0.776433144529261 0.975395893347318
"wk_hundstage_1988" 1.2574638938188 1.14427588507674 1.18526208673549 1.20693883998543 1.08892611497049 1.20943234281052 0.677980374873081 0.626277869068822 0 1.16788575191704 0.510597490005413 1.18883614568997 0.796985249658341 0.838075551498523 1.09966917213604
"wk_kapitel_1975" 1.15929305139067 1.48547001770706 1.40010644512301 1.17069331728601 1.16499003413104 0.642472539862349 1.14989532447134 1.03594006103549 1.16788575191704 0 1.24285912755755 0.728147398344256 1.21633950361342 0.79664147159529 0.940700609775669
"wk_markbein_1991" 1.3373862566308 1.20597652773944 1.36394555491074 1.20264546982888 1.15296321861132 1.28188622454541 0.626871858512116 0.639401460331246 0.510597490005413 1.24285912755755 0 1.27091475892712 0.76433292957921 0.872830265979801 1.16599951354235
"wk_tadel_1971" 1.34314134417951 1.52038226058207 1.28690769707549 1.41970236549816 1.20214634132944 0.502773927218143 1.19420460535423 0.967762234007379 1.18883614568997 0.728147398344256 1.27091475892712 0 1.06959279565535 0.884377166537016 1.01893895565384
"wk_umsonst_2006" 1.27904418990309 1.43097433544499 1.36340887990371 1.44313666318917 1.05138693333656 1.13015400886551 0.701582492898295 0.580253707328031 0.796985249658341 1.21633950361342 0.76433292957921 1.06959279565535 0 1.03292037302859 1.08954618239153
"wk_willkommen_1984" 1.27750418814242 1.28367693272563 1.19455005843991 1.14012392110237 1.06152442382739 0.913739505070001 1.01890163032253 0.776433144529261 0.838075551498523 0.79664147159529 0.872830265979801 0.884377166537016 1.03292037302859 0 0.93090781613073
"wk_zeit_1978" 1.40378119701821 1.20715452705289 1.27802783127171 1.25404558983616 0.534582610913197 1.05429910747258 1.28748058546039 0.975395893347318 1.09966917213604 0.940700609775669 1.16599951354235 1.01893895565384 1.08954618239153 0.93090781613073 0
