"cb_jauche_1975" "cb_quints_1985" "cb_tessin_1960" "cw_kindheitsmuster_1976" "cw_medea_1996" "cw_nachdenken_1968" "gg_blechtrommel_1959" "gg_raettin_1986" "gg_schnecke_1972" "hb_clown_1963" "hb_frauen_1975" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"cb_jauche_1975" 0 0.647973530641665 0.89031598501725 0.653576586222333 0.83428797848543 0.889612566793129 0.621594527186769 0.735832034744237 0.653888337173479 0.84759402739077 0.927864000438048 0.823642499971295 0.994759472903377 0.989222891694538 1.12217302351183 1.11470690676134 1.07356214116446 0.954836486104342 1.23101230872758 0.968889728667937 1.2471103495165 1.10559777490436 1.11534963876356
"cb_quints_1985" 0.647973530641665 0 0.900298389731611 0.779813246696922 0.906781314537312 0.979744251864365 0.760071298300872 0.876608888009463 0.778634343432817 0.932584082829008 0.933634313244432 0.850837036610896 1.0979969593915 1.02840246192752 1.16528774490021 1.1741890782227 1.11993710298118 1.07423698119434 1.26894194839342 1.00295439801334 1.24621025119838 1.18724767485617 1.17237549137715
"cb_tessin_1960" 0.89031598501725 0.900298389731611 0 0.921285826940072 0.949772490440544 1.0192024182287 0.844492898004477 0.950897252387765 0.922234872636933 0.898518142968031 0.891319434880741 0.896122509496069 1.06843065833165 1.08346931908853 1.24356359141266 1.2786458258565 1.16732969433242 1.00846997213049 1.27731952447857 1.03000059886428 1.31039747707802 1.19008389135347 1.11422029051837
"cw_kindheitsmuster_1976" 0.653576586222333 0.779813246696922 0.921285826940072 0 0.713814423339322 0.746525693088217 0.630884233057269 0.669224519867925 0.696957483494189 0.789694099775155 0.833787290609935 0.731756669383887 0.952218555557009 0.970296606907499 1.09629993716373 1.15069811612704 1.11389139462832 0.891310727093898 1.18627606768098 0.900345759857396 1.25339154929725 1.08919501068605 1.06608271032836
"cw_medea_1996" 0.83428797848543 0.906781314537312 0.949772490440544 0.713814423339322 0 0.79081989377848 0.733343351354661 0.778639064007632 0.79312583106349 0.872792360971338 0.850393162991928 0.842613810523228 1.163634218721 1.08396460880384 1.27100408189618 1.31556336974273 1.25698823269273 1.02601773232597 1.31402311324551 1.09450317714367 1.37266426099447 1.25179591035762 1.24709158829041
"cw_nachdenken_1968" 0.889612566793129 0.979744251864365 1.0192024182287 0.746525693088217 0.79081989377848 0 0.87463400751024 0.901365350614639 0.89035465888822 0.989574470114533 0.975786084104673 0.93515427225693 1.14383370978581 1.16680210863415 1.24230849863299 1.31227983935511 1.30945994291386 1.14275089020481 1.30255508359971 1.12872290204451 1.3908900201383 1.24031797623828 1.16024689815979
"gg_blechtrommel_1959" 0.621594527186769 0.760071298300872 0.844492898004477 0.630884233057269 0.733343351354661 0.87463400751024 0 0.509913161792408 0.514772473198046 0.780493292354772 0.789179397592158 0.690568414801796 1.00648810429498 0.900270816654686 1.15289066574725 1.17800762591338 1.13157214728017 0.88927265613845 1.23736448787347 0.843456716079439 1.29121415974608 1.04880194440229 1.08975708930457
"gg_raettin_1986" 0.735832034744237 0.876608888009463 0.950897252387765 0.669224519867925 0.778639064007632 0.901365350614639 0.509913161792408 0 0.486730784869274 0.861554951330125 0.824469768857724 0.780781868196644 1.13604343394756 1.01637369391562 1.28960452544715 1.36151855737836 1.24719624376745 0.991329943259769 1.33976714243581 0.966701914240018 1.46659744406562 1.21886411621394 1.22793673689855
"gg_schnecke_1972" 0.653888337173479 0.778634343432817 0.922234872636933 0.696957483494189 0.79312583106349 0.89035465888822 0.514772473198046 0.486730784869274 0 0.817178716383512 0.81142957453099 0.796922262313976 1.12435259677389 0.940073610437013 1.236667075868 1.26878983275058 1.17112190455291 0.984054371788725 1.32412106541827 0.935044044751316 1.41304443586891 1.18214013889281 1.19214496400719
"hb_clown_1963" 0.84759402739077 0.932584082829008 0.898518142968031 0.789694099775155 0.872792360971338 0.989574470114533 0.780493292354772 0.861554951330125 0.817178716383512 0 0.838283269108573 0.793474115431345 1.1279224164052 1.01673823284686 1.18564784345216 1.22372747069501 1.18351299998219 1.02462691075404 1.30675953537501 0.975656411938588 1.31243859842507 1.18240496087038 1.19535293603939
"hb_frauen_1975" 0.927864000438048 0.933634313244432 0.891319434880741 0.833787290609935 0.850393162991928 0.975786084104673 0.789179397592158 0.824469768857724 0.81142957453099 0.838283269108573 0 0.753698509458042 1.15475099656411 1.03922911364584 1.25408629551706 1.35267539320075 1.30722901045239 1.0475307983807 1.40602832207476 1.06055382506295 1.43065709483243 1.22694220125016 1.1835652590193
"hb_gruppenbild_1971" 0.823642499971295 0.850837036610896 0.896122509496069 0.731756669383887 0.842613810523228 0.93515427225693 0.690568414801796 0.780781868196644 0.796922262313976 0.793474115431345 0.753698509458042 0 1.1038498208094 1.01269931365555 1.16849751350733 1.20243689756393 1.20398989454854 0.932296616789903 1.24690775901446 0.978196823016177 1.33094805229927 1.11379604972249 1.11290071247049
"wk_aussicht_1981" 0.994759472903377 1.0979969593915 1.06843065833165 0.952218555557009 1.163634218721 1.14383370978581 1.00648810429498 1.13604343394756 1.12435259677389 1.1279224164052 1.15475099656411 1.1038498208094 0 0.975161432892506 1.03563386210215 1.01642466209236 1.02104486446614 1.04977658977903 1.16811276083913 0.92183341919027 1.12344159595908 0.988595386294597 0.785922656047937
