"cb_jauche_1975" "cb_quints_1985" "cb_tessin_1960" "cw_kindheitsmuster_1976" "cw_medea_1996" "cw_nachdenken_1968" "gg_blechtrommel_1959" "gg_raettin_1986" "gg_schnecke_1972" "hb_clown_1963" "hb_frauen_1975" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"cb_jauche_1975" 0 0.401907861991735 0.503257450083965 0.379169357378765 0.419497720610387 0.414586243682601 0.409450950241949 0.403538219781375 0.290800881330998 0.497408481721194 0.497069561487508 0.492606811357455 0.788700040450751 0.769224698750749 0.928955665467181 0.854612504453902 0.885239762098225 0.693275277079382 0.850852376397272 0.806156345641139 1.06115539630422 0.877223166277428 0.768770674926087
"cb_quints_1985" 0.401907861991735 0 0.527672003316344 0.438475197780373 0.467982864025304 0.496042878633851 0.488968587204576 0.459860766694884 0.336879682814345 0.545958251486464 0.529390361481496 0.502419061110612 0.840374621002411 0.809482816508829 0.975153717689018 0.896682654258521 0.924758911538503 0.748392869047937 0.86514934344122 0.845775319646377 1.0887037186864 0.918481224450954 0.827102824382583
"cb_tessin_1960" 0.503257450083965 0.527672003316344 0 0.517558400686374 0.48577994859695 0.513575587122673 0.539516788756539 0.522948158465208 0.402722636530732 0.520843145078337 0.533751301661125 0.561763385528825 0.881112332497961 0.877760283048751 1.02842426180617 0.931647899067899 0.977872627157895 0.753928478803455 0.927225079864028 0.893576684279708 1.1412202564009 0.950059711571544 0.860114570595829
"cw_kindheitsmuster_1976" 0.379169357378765 0.438475197780373 0.517558400686374 0 0.364008866701342 0.39424631790818 0.408021220531736 0.386035650650235 0.284071585189358 0.482228347523157 0.479200559414641 0.44957061499044 0.74998802512536 0.774851984448659 0.943206789160786 0.80453138560416 0.86995950997798 0.681292559735567 0.837610373144049 0.796009105816862 1.07427964906426 0.848204429764098 0.731269221752867
"cw_medea_1996" 0.419497720610387 0.467982864025304 0.48577994859695 0.364008866701342 0 0.398950043491597 0.425178886036987 0.374701675775403 0.27047647315211 0.434167579956807 0.439743454867815 0.471414744718786 0.808096715937516 0.775562161704427 0.936106551998225 0.902418095123435 0.909082012839627 0.719672592028686 0.844498002908977 0.823584845193417 1.10734834826593 0.882741429467074 0.763590413083027
"cw_nachdenken_1968" 0.414586243682601 0.496042878633851 0.513575587122673 0.39424631790818 0.398950043491597 0 0.455681566460078 0.42267493042821 0.321493896279247 0.504273338366641 0.473729469266645 0.504428235152675 0.833747276028011 0.79370986553951 0.982001826965671 0.898658734750103 0.917747682994916 0.723169043283243 0.863771225086739 0.851825843667476 1.11354061812696 0.886200967468812 0.823469781813894
"gg_blechtrommel_1959" 0.409450950241949 0.488968587204576 0.539516788756539 0.408021220531736 0.425178886036987 0.455681566460078 0 0.395600286059953 0.312631587772742 0.502915197471041 0.484557741051878 0.510370060913927 0.80502503794727 0.809885973020088 0.971301930727334 0.899406294357767 0.872800363168815 0.73466224400505 0.872979578301098 0.834039770319059 1.11613848503228 0.897240029433195 0.785635003536999
"gg_raettin_1986" 0.403538219781375 0.459860766694884 0.522948158465208 0.386035650650235 0.374701675775403 0.42267493042821 0.395600286059953 0 0.237761248696206 0.472184794255653 0.465133000105258 0.46236672632874 0.818795320040183 0.779382855898395 0.975794004372209 0.906119678152301 0.913390308404045 0.71781118694475 0.854902765358092 0.821596561286184 1.14192906424173 0.867821785446982 0.797290585897011
"gg_schnecke_1972" 0.290800881330998 0.336879682814345 0.402722636530732 0.284071585189358 0.27047647315211 0.321493896279247 0.312631587772742 0.237761248696206 0 0.367369222484703 0.343925418497298 0.360042697889896 0.721821675021096 0.659012820255686 0.872047716926322 0.796367412454125 0.80242483101515 0.611622083712468 0.738073792547586 0.708447511706805 1.01683094931401 0.772506343691659 0.705852716042149
"hb_clown_1963" 0.497408481721194 0.545958251486464 0.520843145078337 0.482228347523157 0.434167579956807 0.504273338366641 0.502915197471041 0.472184794255653 0.367369222484703 0 0.496445575655876 0.514311172769658 0.846264486398495 0.819561820722229 1.01298563964253 0.961698955442926 0.953843671948559 0.75790802181753 0.897770612957288 0.860513604495154 1.13138683486225 0.931617380386759 0.831409745476542
