"wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"wk_aussicht_1981" 0 1.32976155600833 1.29899491507064 1.1882254889132 1.26451847017473 1.28165132873626 1.33691642731616 1.25781157669427 1.34238993069089 1.14747936445467 0.777559205227343
"wk_gold_1972" 1.32976155600833 0 1.22457626442157 1.18136012485135 1.24446621965398 0.889517914487142 1.26564718455784 0.72150480143954 1.27009400218782 1.06596006240666 1.16635629271965
"wk_gruesse_2003" 1.29899491507064 1.22457626442157 0 0.867553693170914 0.846176382232199 1.14073020345614 0.933679017782542 1.1708065284248 0.95638620200808 0.990718635895541 1.28583558855279
"wk_heilewelt_1998" 1.1882254889132 1.18136012485135 0.867553693170914 0 0.88796768160824 1.12317618595833 0.958334661423845 1.14611975092953 0.981554428158967 0.93708217656339 1.15244284060469
"wk_hundstage_1988" 1.26451847017473 1.24446621965398 0.846176382232199 0.88796768160824 0 1.15197590063325 0.91025387000784 1.20417946899379 1.06085195752024 0.931967406088824 1.28094189328848
"wk_kapitel_1975" 1.28165132873626 0.889517914487142 1.14073020345614 1.12317618595833 1.15197590063325 0 1.21633426599145 0.978130417024767 1.28820293776404 0.972730412694218 1.12829192552885
"wk_markbein_1991" 1.33691642731616 1.26564718455784 0.933679017782542 0.958334661423845 0.91025387000784 1.21633426599145 0 1.25017286056809 1.10610293524005 1.01086567639957 1.31315329476786
"wk_tadel_1971" 1.25781157669427 0.72150480143954 1.1708065284248 1.14611975092953 1.20417946899379 0.978130417024767 1.25017286056809 0 1.20664804442005 1.03993792996463 1.12421537256903
"wk_umsonst_2006" 1.34238993069089 1.27009400218782 0.95638620200808 0.981554428158967 1.06085195752024 1.28820293776404 1.10610293524005 1.20664804442005 0 1.16761695755792 1.32448834155627
"wk_willkommen_1984" 1.14747936445467 1.06596006240666 0.990718635895541 0.93708217656339 0.931967406088824 0.972730412694218 1.01086567639957 1.03993792996463 1.16761695755792 0 1.11394194492674
"wk_zeit_1978" 0.777559205227343 1.16635629271965 1.28583558855279 1.15244284060469 1.28094189328848 1.12829192552885 1.31315329476786 1.12421537256903 1.32448834155627 1.11394194492674 0
