"cb_jauche_1975" "cb_quints_1985" "cb_tessin_1960" "cw_kindheitsmuster_1976" "cw_medea_1996" "cw_nachdenken_1968" "gg_blechtrommel_1959" "gg_raettin_1986" "gg_schnecke_1972" "hb_clown_1963" "hb_frauen_1975" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"cb_jauche_1975" 0 0.658373583402174 1.12072627418237 0.854124267422512 1.16341283688365 1.13254337572239 1.05604484033819 1.1000351031745 1.06677882385928 1.14750550747597 1.19023389300488 1.03586887396092 1.11189131612046 1.19332469831671 1.05635759332236 1.01902663098008 1.05169812122932 1.15053690877226 1.07935438544916 1.17290732872855 1.12157033981832 1.06005498368925 1.04581858894987
"cb_quints_1985" 0.658373583402174 0 1.04429713851219 0.826791216987473 1.03556977260744 1.09218812774621 1.11213030586936 1.13827306212879 1.03822660593738 1.06879493406682 1.12610783687369 0.959632686694927 1.26435364634693 1.14719274001497 0.996463079840437 1.00272312509148 1.0340373108014 1.12288599111019 1.01667806491372 1.15529751089688 1.09283128072486 1.02298889184726 1.17399718360904
"cb_tessin_1960" 1.12072627418237 1.04429713851219 0 1.14029013934479 1.09304388216013 1.15180568533044 1.22698798293404 1.38127469776242 1.31218504170899 0.958185950652446 1.13415685056938 1.13443855960186 1.32475552663007 1.15927194716399 1.0293951277834 1.06844416395128 1.07693762222106 1.0297723971067 1.10670097254606 1.13778843035709 1.06396609954149 1.09768843071838 1.21658928846444
"cw_kindheitsmuster_1976" 0.854124267422512 0.826791216987473 1.14029013934479 0 0.866451466866317 0.891491403051894 1.04361652056548 1.03337357308641 1.00843277239484 1.05816615909484 1.08954176929331 0.91513329967677 1.12670735422743 1.17541047040133 1.03404039576767 1.03334285871687 1.01590033375221 1.03820931070841 1.00312002352162 1.17575795827415 1.14436552938158 0.996146023506344 1.0357651782474
"cw_medea_1996" 1.16341283688365 1.03556977260744 1.09304388216013 0.866451466866317 0 0.888216590246793 1.17421790111878 1.12470363603228 1.18127604538453 1.04762159518798 1.06270160370963 1.11470234331036 1.38348757681945 1.28665123589498 1.18226120188688 1.23372964221415 1.18354590585742 1.11739493063787 1.17966258425128 1.28222577634136 1.25702777801169 1.20574294958112 1.30221906508991
"cw_nachdenken_1968" 1.13254337572239 1.09218812774621 1.15180568533044 0.891491403051894 0.888216590246793 0 1.32824108754369 1.1843532034321 1.18013621950731 1.1240937888358 1.07513150306301 1.13423368135356 1.28202235519157 1.28715895644843 1.19998570378505 1.21716826268647 1.24306038464001 1.10413807245773 1.24217629233881 1.31381328875603 1.28988184025103 1.22355767103959 1.16906091618656
"gg_blechtrommel_1959" 1.05604484033819 1.11213030586936 1.22698798293404 1.04361652056548 1.17421790111878 1.32824108754369 0 1.04486710386372 0.945784560670727 1.14659844605593 1.29797487745855 1.11851542001324 1.38254194346716 1.20859760585556 1.16559595363068 1.09656743484744 1.04672788104362 1.17103072472573 1.11935466232006 1.15488792971149 1.18604671582813 1.08249240319446 1.25770840935228
"gg_raettin_1986" 1.1000351031745 1.13827306212879 1.38127469776242 1.03337357308641 1.12470363603228 1.1843532034321 1.04486710386372 0 0.826439193587341 1.25716235129533 1.21484053433161 1.13047276186097 1.32415148620697 1.320133676503 1.27920716259611 1.29596517013301 1.23422734591321 1.21448895943039 1.25646558094621 1.32143257139207 1.35814824291413 1.21360132433914 1.22796064664914
"gg_schnecke_1972" 1.06677882385928 1.03822660593738 1.31218504170899 1.00843277239484 1.18127604538453 1.18013621950731 0.945784560670727 0.826439193587341 0 1.1794335303395 1.17665959629014 1.06220785508809 1.32837828315592 1.2933663158949 1.25049218764955 1.21186932795441 1.18097967991111 1.18671032067963 1.21667014822969 1.27176049877773 1.34533529718771 1.16350496376262 1.21718538226303
"hb_clown_1963" 1.14750550747597 1.06879493406682 0.958185950652446 1.05816615909484 1.04762159518798 1.1240937888358 1.14659844605593 1.25716235129533 1.1794335303395 0 0.918624806981655 0.93540209983388 1.32545796460807 1.13417749691312 1.07848010821794 1.08736718477155 1.04688455432992 1.03336350250775 1.09435783936008 1.12689743421378 1.13349102203706 1.06663656540242 1.19945370583139
