"cb_jauche_1975" "cb_quints_1985" "cb_tessin_1960" "cw_kindheitsmuster_1976" "cw_medea_1996" "cw_nachdenken_1968" "gg_blechtrommel_1959" "gg_raettin_1986" "gg_schnecke_1972" "hb_clown_1963" "hb_frauen_1975" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"cb_jauche_1975" 0 0.500457105398959 1.13601564648288 0.74182325034747 1.14540457865723 1.3268466372813 0.847100280534197 1.03571602768056 0.924764625871046 1.15949890086623 1.29048297150329 1.02584935429369 1.03297996037053 1.35751299563951 1.11005220647523 0.930909094187054 1.0521404104938 1.27874893187321 1.08285535010786 1.26880398583155 1.04846101144969 1.12764653415893 1.0005912833546
"cb_quints_1985" 0.500457105398959 0 1.07735550466823 0.723285632352682 1.07123313524419 1.38993270692546 1.04506968039931 1.19813293623269 1.08572450017028 1.05814736912248 1.29581059511421 0.918692569993889 1.22843032851051 1.35962420972179 1.02856662241901 0.941210836426036 1.01759830929287 1.24994350362968 0.99415083112234 1.31686990711907 1.05616200892242 1.10823332654986 1.1666055271279
"cb_tessin_1960" 1.13601564648288 1.07735550466823 0 1.23300191274402 0.985677011045691 1.11459128183374 1.22550758972914 1.47859816489661 1.37191676236155 0.769663795957323 0.976221540638981 1.0278525587166 1.30239585778493 1.18156380627214 1.07612670461203 1.10445370962105 1.13788974395251 1.02240972234657 1.20252101362678 1.18541508234027 1.14129728420336 1.13632560630845 1.22628196314381
"cw_kindheitsmuster_1976" 0.74182325034747 0.723285632352682 1.23300191274402 0 0.872377409927318 1.13436951309995 1.02430568539306 1.08605296641297 0.994891899234755 1.1475520371676 1.29387722219779 1.01216135860391 1.14024179952787 1.43317440496744 1.20367792680235 1.08479882216005 1.02234914189626 1.3220070788078 1.06955080243089 1.387913729434 1.25628308931879 1.1476717540156 1.05443478211858
"cw_medea_1996" 1.14540457865723 1.07123313524419 0.985677011045691 0.872377409927318 0 0.881085299113399 1.16808221375042 1.27382076257959 1.25708066912681 0.921441387997003 1.05542537891193 1.05136723238173 1.42698904365997 1.36794640900826 1.36734551264083 1.36949177799888 1.2090317442598 1.24043463724413 1.29555355853635 1.35717643308473 1.38104379233569 1.29167154139828 1.36317397505411
"cw_nachdenken_1968" 1.3268466372813 1.38993270692546 1.11459128183374 1.13436951309995 0.881085299113399 0 1.41361999636674 1.36970557331369 1.36726214635719 1.14483419105075 1.09447088267843 1.25894233763498 1.34434831122143 1.39129714179523 1.48028776242485 1.48212106943299 1.50346945923617 1.20615524660595 1.52783540054111 1.37637726263125 1.44521307346492 1.41344349465268 1.22797984474453
"gg_blechtrommel_1959" 0.847100280534197 1.04506968039931 1.22550758972914 1.02430568539306 1.16808221375042 1.41361999636674 0 1.02557582506431 0.869921789114727 1.12907720906117 1.33331272424586 1.1841601286532 1.24983912190972 1.25798763823889 1.28479321721624 1.00262223900524 1.04215661543202 1.22777997141366 1.19684368685974 1.13219792297028 1.17935112769276 1.05280320926645 1.10903455802102
"gg_raettin_1986" 1.03571602768056 1.19813293623269 1.47859816489661 1.08605296641297 1.27382076257959 1.36970557331369 1.02557582506431 0 0.792336965197136 1.40606795774098 1.43326177181278 1.20521269766765 1.39563134077523 1.38295712679103 1.56954792633215 1.42778954850549 1.35628762625648 1.31588793921934 1.49020885509996 1.38041686247373 1.51341363998149 1.28656609364129 1.20373601539855
"gg_schnecke_1972" 0.924764625871046 1.08572450017028 1.37191676236155 0.994891899234755 1.25708066912681 1.36726214635719 0.869921789114727 0.792336965197136 0 1.26767212984078 1.34544887341399 1.15161521489147 1.32547386346793 1.43456270437161 1.49193496992875 1.27646192169683 1.25729165323806 1.34889766985785 1.41421877786175 1.39613578015385 1.50732959976568 1.20681185007708 1.18706166523952
"hb_clown_1963" 1.15949890086623 1.05814736912248 0.769663795957323 1.1475520371676 0.921441387997003 1.14483419105075 1.12907720906117 1.40606795774098 1.26767212984078 0 0.991663963374735 0.978544274751118 1.49837679038396 1.31134119523454 1.2442636628959 1.30108363312864 1.16447064088108 1.14751234607846 1.18323092046128 1.33948736777869 1.32490681920491 1.22408510988009 1.35680830490033
"hb_frauen_1975" 1.29048297150329 1.29581059511421 0.976221540638981 1.29387722219779 1.05542537891193 1.09447088267843 1.33331272424586 1.43326177181278 1.34544887341399 0.991663963374735 0 0.971553575000821 1.36796955896372 1.37427102386019 1.47842623277022 1.49282915666598 1.46663470493592 1.24759039723134 1.5444668125259 1.44117651967042 1.49295614584334 1.4501417742299 1.24729225776694
"hb_gruppenbild_1971" 1.02584935429369 0.918692569993889 1.0278525587166 1.01216135860391 1.05136723238173 1.25894233763498 1.1841601286532 1.20521269766765 1.15161521489147 0.978544274751118 0.971553575000821 0 1.1757054989709 1.21867560643626 1.1387035959557 1.107775150299 1.07590843183791 1.01668804212841 1.06024591672272 1.28297176684477 1.24368811322039 1.01376689789535 1.11030394931865
