"cb_jauche_1975" "cb_quints_1985" "cb_tessin_1960" "cw_kindheitsmuster_1976" "cw_medea_1996" "cw_nachdenken_1968" "gg_blechtrommel_1959" "gg_raettin_1986" "gg_schnecke_1972" "hb_clown_1963" "hb_frauen_1975" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"cb_jauche_1975" 0 0.666142976184741 1.1036782394474 0.843539424096055 1.14476308633004 1.11088554489706 1.0641162946809 1.09951077555483 1.0636359470066 1.14480229738895 1.17298324347605 1.02685463738588 1.09557110773354 1.18507468184475 1.05021466589874 1.00870361428609 1.03942178093795 1.1535800794743 1.09512123430855 1.1653382729542 1.1261366515808 1.0549268982559 1.03948785636282
"cb_quints_1985" 0.666142976184741 0 1.03452260369297 0.827611897678582 1.03425006198012 1.07516418849567 1.12173644126996 1.13910604597276 1.04586771851292 1.08034963475635 1.12343733395883 0.970289553203768 1.23808609056545 1.15264111507292 0.988182758798588 0.991964539631346 1.02903829298073 1.13061271144133 1.03316882196035 1.15398372852196 1.08344808480926 1.01993873145831 1.15587765627332
"cb_tessin_1960" 1.1036782394474 1.03452260369297 0 1.11093174514767 1.08046279884312 1.13465555580241 1.22664970826375 1.35167776971698 1.28334183296447 0.967017930869428 1.11507762507266 1.1140175660873 1.30198652268628 1.16041327591209 1.02510753672959 1.0658861978528 1.07459686108325 1.04235332501527 1.11933544877353 1.13445678027815 1.08307409978635 1.11002105215244 1.20849948140671
"cw_kindheitsmuster_1976" 0.843539424096055 0.827611897678582 1.11093174514767 0 0.84995552024284 0.852244790162385 1.04254764791009 1.00660578141308 0.987399013683209 1.05113064803563 1.05751334722401 0.891691791749049 1.10251364778307 1.14780829822825 1.01456037879204 1.00393393094273 0.996470603643667 1.01969233639272 1.0056700589674 1.1470360120952 1.12872593249537 0.992022115523727 1.01588671476356
"cw_medea_1996" 1.14476308633004 1.03425006198012 1.08046279884312 0.84995552024284 0 0.889388666182988 1.16822894787174 1.10552916880796 1.16513945251647 1.06106226574541 1.05822074861661 1.10209121890144 1.36814406905731 1.27682544693982 1.1745280329694 1.21443976008069 1.18706565469072 1.11437078553234 1.18596909331202 1.27268934345304 1.2472951008549 1.19761080314689 1.28913093639944
"cw_nachdenken_1968" 1.11088554489706 1.07516418849567 1.13465555580241 0.852244790162385 0.889388666182988 0 1.31635334478216 1.1558720855925 1.14652865493494 1.12635189262809 1.06637911603478 1.10420988031112 1.25357499178463 1.25634693114393 1.16696038059774 1.19068462536388 1.21221436787046 1.09469017740096 1.22852531285767 1.28427214961739 1.26366501164321 1.20383970022005 1.14541336104958
"gg_blechtrommel_1959" 1.0641162946809 1.12173644126996 1.22664970826375 1.04254764791009 1.16822894787174 1.31635334478216 0 1.07257332834804 0.965917116216619 1.16375436884868 1.30664532545207 1.12212214796753 1.37316386396177 1.22398220178943 1.15642814480475 1.09702307646378 1.04489798026173 1.18665861949471 1.15104410322012 1.16994553678068 1.19879695627576 1.0907190420292 1.26414449525041
"gg_raettin_1986" 1.09951077555483 1.13910604597276 1.35167776971698 1.00660578141308 1.10552916880796 1.1558720855925 1.07257332834804 0 0.822604224655956 1.26005302612839 1.20392317879131 1.13255985776424 1.29418455086927 1.30900818091494 1.25179909534537 1.26688594042006 1.21300070304193 1.20678537959944 1.24957078073847 1.30768894687254 1.34648459959391 1.21263797664844 1.21022486776364
"gg_schnecke_1972" 1.0636359470066 1.04586771851292 1.28334183296447 0.987399013683209 1.16513945251647 1.14652865493494 0.965917116216619 0.822604224655956 0 1.16801300007176 1.15474655542915 1.05785430937935 1.2950278353198 1.26814895351321 1.20758476969707 1.18550460599373 1.14599986106622 1.16813547118963 1.20491386986048 1.23977739089808 1.31880296475273 1.14434314150616 1.19689182643939
"hb_clown_1963" 1.14480229738895 1.08034963475635 0.967017930869428 1.05113064803563 1.06106226574541 1.12635189262809 1.16375436884868 1.26005302612839 1.16801300007176 0 0.914833272989896 0.92056198888119 1.29458786092686 1.12219295301239 1.0734966188759 1.06659038658622 1.05141236240875 1.03916288472895 1.10791066930383 1.10611086509167 1.14240808980872 1.06059224755007 1.17151749466618
"hb_frauen_1975" 1.17298324347605 1.12343733395883 1.11507762507266 1.05751334722401 1.05822074861661 1.06637911603478 1.30664532545207 1.20392317879131 1.15474655542915 0.914833272989896 0 0.929550587444196 1.22669827757969 1.22573654302388 1.21116656374232 1.22799692237033 1.23958194941902 1.11037599751753 1.2358862991028 1.26098947563418 1.31339461643699 1.21913502914846 1.12852948664689
"hb_gruppenbild_1971" 1.02685463738588 0.970289553203768 1.1140175660873 0.891691791749049 1.10209121890144 1.10420988031112 1.12212214796753 1.13255985776424 1.05785430937935 0.92056198888119 0.929550587444196 0 1.2508683643125 1.17815227285804 1.07715087090046 1.07417669430905 1.07137159214332 1.04423862370971 1.06390254243428 1.21661567723389 1.21716904714505 1.0391955195488 1.13679339324927
