"cb_jauche_1975" "cb_quints_1985" "cb_tessin_1960" "cw_kindheitsmuster_1976" "cw_medea_1996" "cw_nachdenken_1968" "gg_blechtrommel_1959" "gg_raettin_1986" "gg_schnecke_1972" "hb_clown_1963" "hb_frauen_1975" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"cb_jauche_1975" 0 0.289854467589805 0.409885206341168 0.300468195672569 0.304833232763655 0.269665175482939 0.408104102053478 0.379036575561488 0.25586038207959 0.346831180427134 0.368270987555834 0.389341030551184 0.733046277734132 0.696282593063723 0.801437462411056 0.871255131620523 0.668393407492664 0.652478449805814 0.575975918791504 1.24829842329641 0.890702036960147 0.781847427287869 0.785393638003401
"cb_quints_1985" 0.289854467589805 0 0.331145782251261 0.222773846375743 0.205759903887096 0.22323159981891 0.349418644655674 0.286602468078973 0.163426274597075 0.266781001079833 0.274276106018338 0.294156338639876 0.690824330740314 0.633790420095161 0.732026823764201 0.774702090194712 0.56220986152756 0.616034801338617 0.465846608181359 1.15335458773206 0.82717221927168 0.705277483865099 0.734919089984822
"cb_tessin_1960" 0.409885206341168 0.331145782251261 0 0.293670014992118 0.248800150427153 0.266943936869931 0.40578615857636 0.364260015160118 0.235903161914417 0.282995809196936 0.32391084776151 0.386309705148148 0.716208431662627 0.741037303479481 0.804038209774831 0.816564011123815 0.658009488922105 0.675154510771998 0.553589906971485 1.19863576565283 0.879507000525195 0.77420156880135 0.822795346770723
"cw_kindheitsmuster_1976" 0.300468195672569 0.222773846375743 0.293670014992118 0 0.138744424514083 0.180697668600443 0.283165809609588 0.246501701117159 0.118144847871458 0.211277678643932 0.239211140075426 0.285126399122827 0.6080151093038 0.6196516353822 0.672867157346502 0.710292140424196 0.530796246680289 0.556310464321171 0.441752663333932 1.08546727585076 0.757846151187622 0.662257362198385 0.657404140187687
"cw_medea_1996" 0.304833232763655 0.205759903887096 0.248800150427153 0.138744424514083 0 0.163099280600891 0.264200751023199 0.214723260491115 0.0863664072454147 0.172112557391622 0.198610358775868 0.252158324784669 0.611429812255564 0.592541161447158 0.671416055046829 0.737305059244521 0.526870243967059 0.542195742621722 0.389043159251172 1.08533352235016 0.763014154870907 0.640207784113294 0.668673135609154
"cw_nachdenken_1968" 0.269665175482939 0.22323159981891 0.266943936869931 0.180697668600443 0.163099280600891 0 0.294038632131118 0.242483283162527 0.114126429916826 0.217927367082971 0.224528106088431 0.270369828579104 0.620667126007214 0.584123157798354 0.68343715488086 0.757940568148614 0.551901720795641 0.521745985411963 0.438680565596697 1.10170558046311 0.783955426140555 0.665386649089578 0.696859301311967
"gg_blechtrommel_1959" 0.408104102053478 0.349418644655674 0.40578615857636 0.283165809609588 0.264200751023199 0.294038632131118 0 0.333175644106955 0.22155415392469 0.332634376956484 0.31698802283127 0.37236995101651 0.752417893377842 0.733236057111539 0.781232311649473 0.861855910277144 0.634484494492354 0.661281886617782 0.545530247718849 1.20608976513212 0.867943079368648 0.765312159625473 0.792644968112123
"gg_raettin_1986" 0.379036575561488 0.286602468078973 0.364260015160118 0.246501701117159 0.214723260491115 0.242483283162527 0.333175644106955 0 0.165750409807051 0.271174477959724 0.288626493267878 0.334440954779628 0.697445546815014 0.678928595019874 0.724864559179423 0.827338079263193 0.593526801931655 0.615793669681345 0.500152766342894 1.16367648874068 0.847899391836208 0.708094199273353 0.748414397960666
"gg_schnecke_1972" 0.25586038207959 0.163426274597075 0.235903161914417 0.118144847871458 0.0863664072454147 0.114126429916826 0.22155415392469 0.165750409807051 0 0.150708287882681 0.160269640022177 0.199112793065488 0.558505544482086 0.550571741774172 0.611336770093026 0.704570147013398 0.487201808978665 0.489673182770681 0.371795913097193 1.0360091095597 0.722395980075319 0.605170859496502 0.636737284913767
"hb_clown_1963" 0.346831180427134 0.266781001079833 0.282995809196936 0.211277678643932 0.172112557391622 0.217927367082971 0.332634376956484 0.271174477959724 0.150708287882681 0 0.255000731046946 0.310928500877254 0.685093600708186 0.655035380205636 0.725044312596504 0.799326234459703 0.578192566194097 0.592037495662006 0.470577454981027 1.13478107037914 0.820526129955459 0.714293888519484 0.74427293270594
"hb_frauen_1975" 0.368270987555834 0.274276106018338 0.32391084776151 0.239211140075426 0.198610358775868 0.224528106088431 0.31698802283127 0.288626493267878 0.160269640022177 0.255000731046946 0 0.307414092997663 0.648124967868899 0.663404316957291 0.706237190578689 0.810934500729383 0.60377976501481 0.613870169993319 0.484820629894641 1.15408503470915 0.824067984110257 0.700459931504739 0.741710069368524
"hb_gruppenbild_1971" 0.389341030551184 0.294156338639876 0.386309705148148 0.285126399122827 0.252158324784669 0.270369828579104 0.37236995101651 0.334440954779628 0.199112793065488 0.310928500877254 0.307414092997663 0 0.735094759955256 0.703602288236866 0.770769561238728 0.826986008848214 0.615728360696055 0.639103198140751 0.537569659920498 1.18075487507681 0.836521552299056 0.734551547021493 0.755004978384899
"wk_aussicht_1981" 0.733046277734132 0.690824330740314 0.716208431662627 0.6080151093038 0.611429812255564 0.620667126007214 0.752417893377842 0.697445546815014 0.558505544482086 0.685093600708186 0.648124967868899 0.735094759955256 0 0.939046112755528 0.9343831838893 0.935075986043556 0.870252379260384 0.813142128710466 0.855569477414433 1.282145190311 1.06761570599089 0.855147920015557 0.769252758917802
"wk_gold_1972" 0.696282593063723 0.633790420095161 0.741037303479481 0.6196516353822 0.592541161447158 0.584123157798354 0.733236057111539 0.678928595019874 0.550571741774172 0.655035380205636 0.663404316957291 0.703602288236866 0.939046112755528 0 0.992605594868308 1.07848907323556 0.889517853553291 0.747030244065984 0.803257805698787 1.02551374347324 1.07064261000094 0.902448414794173 0.945609093165579
"wk_gruesse_2003" 0.801437462411056 0.732026823764201 0.804038209774831 0.672867157346502 0.671416055046829 0.68343715488086 0.781232311649473 0.724864559179423 0.611336770093026 0.725044312596504 0.706237190578689 0.770769561238728 0.9343831838893 0.992605594868308 0 0.895887184500946 0.749212018641143 0.871522432857028 0.792820471186835 1.48328442265613 0.917570464929498 0.933810413317436 0.995679249508864
"wk_heilewelt_1998" 0.871255131620523 0.774702090194712 0.816564011123815 0.710292140424196 0.737305059244521 0.757940568148614 0.861855910277144 0.827338079263193 0.704570147013398 0.799326234459703 0.810934500729383 0.826986008848214 0.935075986043556 1.07848907323556 0.895887184500946 0 0.831238372545699 0.892040693032363 0.870918488873882 1.57045006790832 0.957706295359227 0.854979276597655 1.08809570161578
"wk_hundstage_1988" 0.668393407492664 0.56220986152756 0.658009488922105 0.530796246680289 0.526870243967059 0.551901720795641 0.634484494492354 0.593526801931655 0.487201808978665 0.578192566194097 0.60377976501481 0.615728360696055 0.870252379260384 0.889517853553291 0.749212018641143 0.831238372545699 0 0.773422383554596 0.647133320211578 1.36299473008832 0.851656015472374 0.855220816768008 0.92778907858375
"wk_kapitel_1975" 0.652478449805814 0.616034801338617 0.675154510771998 0.556310464321171 0.542195742621722 0.521745985411963 0.661281886617782 0.615793669681345 0.489673182770681 0.592037495662006 0.613870169993319 0.639103198140751 0.813142128710466 0.747030244065984 0.871522432857028 0.892040693032363 0.773422383554596 0 0.76566632192145 1.21605965393279 0.939664950448915 0.728539327970329 0.910446042268974
"wk_markbein_1991" 0.575975918791504 0.465846608181359 0.553589906971485 0.441752663333932 0.389043159251172 0.438680565596697 0.545530247718849 0.500152766342894 0.371795913097193 0.470577454981027 0.484820629894641 0.537569659920498 0.855569477414433 0.803257805698787 0.792820471186835 0.870918488873882 0.647133320211578 0.76566632192145 0 1.33804881334222 0.908359650313335 0.834783562030697 0.904083438210836
"wk_tadel_1971" 1.24829842329641 1.15335458773206 1.19863576565283 1.08546727585076 1.08533352235016 1.10170558046311 1.20608976513212 1.16367648874068 1.0360091095597 1.13478107037914 1.15408503470915 1.18075487507681 1.282145190311 1.02551374347324 1.48328442265613 1.57045006790832 1.36299473008832 1.21605965393279 1.33804881334222 0 1.54655141183032 1.41333567058715 1.26696305368209
"wk_umsonst_2006" 0.890702036960147 0.82717221927168 0.879507000525195 0.757846151187622 0.763014154870907 0.783955426140555 0.867943079368648 0.847899391836208 0.722395980075319 0.820526129955459 0.824067984110257 0.836521552299056 1.06761570599089 1.07064261000094 0.917570464929498 0.957706295359227 0.851656015472374 0.939664950448915 0.908359650313335 1.54655141183032 0 1.02915933102058 1.13883463551332
"wk_willkommen_1984" 0.781847427287869 0.705277483865099 0.77420156880135 0.662257362198385 0.640207784113294 0.665386649089578 0.765312159625473 0.708094199273353 0.605170859496502 0.714293888519484 0.700459931504739 0.734551547021493 0.855147920015557 0.902448414794173 0.933810413317436 0.854979276597655 0.855220816768008 0.728539327970329 0.834783562030697 1.41333567058715 1.02915933102058 0 0.89540894316289
"wk_zeit_1978" 0.785393638003401 0.734919089984822 0.822795346770723 0.657404140187687 0.668673135609154 0.696859301311967 0.792644968112123 0.748414397960666 0.636737284913767 0.74427293270594 0.741710069368524 0.755004978384899 0.769252758917802 0.945609093165579 0.995679249508864 1.08809570161578 0.92778907858375 0.910446042268974 0.904083438210836 1.26696305368209 1.13883463551332 0.89540894316289 0
