"alles-umsonst_2006" "aus-großer-zeit_1978" "ein-kapitel-für-sich_1975" "heile-welt_1998" "herzlich-willkommen_1984" "hundstage_1988" "letzte-grüße_2003" "mark-und-bein_1991" "schöne-aussicht_1981" "tadellöser-wolff_1971" "uns-gehts-ja-noch-gold_1972"
"alles-umsonst_2006" 0 1.32976799599684 1.27768282350591 0.968945418253468 1.17567086413884 1.06015626734241 0.958295575033629 1.1061437577577 1.34445175267856 1.29283500834447 1.21251219356824
"aus-großer-zeit_1978" 1.32976799599684 0 1.18134943591683 1.14775316191089 1.12173133826743 1.29534775470381 1.29866229496502 1.32533072952344 0.775722949324681 1.12744972640672 1.15094782105416
"ein-kapitel-für-sich_1975" 1.27768282350591 1.18134943591683 0 1.16496888512298 1.06985561725946 1.24827154038799 1.23803125242891 1.27366468609764 1.33239889401273 0.881777172476609 0.709927863217928
"heile-welt_1998" 0.968945418253468 1.14775316191089 1.16496888512298 0 0.932427258762329 0.873225968321347 0.861525946629669 0.951492922031476 1.17986725561146 1.10843702030432 1.14789441287287
"herzlich-willkommen_1984" 1.17567086413884 1.12173133826743 1.06985561725946 0.932427258762329 0 0.932196033985583 0.997939051203496 1.01198593860573 1.15910060838414 0.981403482915247 1.05791141652359
"hundstage_1988" 1.06015626734241 1.29534775470381 1.24827154038799 0.873225968321347 0.932196033985583 0 0.846908074627085 0.89945016048581 1.26825010691379 1.14246682621005 1.21730424729641
"letzte-grüße_2003" 0.958295575033629 1.29866229496502 1.23803125242891 0.861525946629669 0.997939051203496 0.846908074627085 0 0.927997712029851 1.30667235634786 1.1303909843465 1.1793356371933
"mark-und-bein_1991" 1.1061437577577 1.32533072952344 1.27366468609764 0.951492922031476 1.01198593860573 0.89945016048581 0.927997712029851 0 1.34396679239093 1.22529729766395 1.27276994157282
"schöne-aussicht_1981" 1.34445175267856 0.775722949324681 1.33239889401273 1.17986725561146 1.15910060838414 1.26825010691379 1.30667235634786 1.34396679239093 0 1.29085025897715 1.28252522057443
"tadellöser-wolff_1971" 1.29283500834447 1.12744972640672 0.881777172476609 1.10843702030432 0.981403482915247 1.14246682621005 1.1303909843465 1.22529729766395 1.29085025897715 0 0.984916622412564
"uns-gehts-ja-noch-gold_1972" 1.21251219356824 1.15094782105416 0.709927863217928 1.14789441287287 1.05791141652359 1.21730424729641 1.1793356371933 1.27276994157282 1.28252522057443 0.984916622412564 0
